address,phone,sales_tax
28 Oak Valley Parkway,+66-964-301-2341,1.48
4 Kinsman Avenue,+51-136-444-0451,1.74
463 Vahlen Drive,+55-370-261-1693,1.65
742 La Follette Road,+48-258-348-0615,1.54
3 Declaration Center,+51-899-616-1437,1.88
0881 Killdeer Circle,+55-170-444-5457,1.08
369 Northport Junction,+48-455-349-8125,1.62
4 Sycamore Court,+62-285-925-8999,1.98
56593 Steensland Parkway,+239-257-530-3006,1.03
61 Union Trail,+47-566-518-9432,1.51
39335 Oriole Park,+51-345-945-7727,1.79
7 Kedzie Terrace,+86-270-813-3827,1.77
571 Sugar Circle,+48-933-721-8308,1.37
49 Transport Hill,+7-741-828-6117,1.27
54 Barnett Road,+964-100-890-3678,1.98
04245 Vermont Lane,+66-944-532-0839,1.83
69 Northland Road,+353-140-445-4352,1.4
2 Erie Alley,+46-822-804-3501,1.49
24 Lillian Alley,+33-912-945-7041,1.74
002 Little Fleur Crossing,+62-108-292-9212,1.38
96 Oakridge Junction,+7-357-770-0279,1.23
82978 Hoffman Alley,+374-217-468-2704,1.77
4404 Lindbergh Center,+30-743-802-6780,1.71
80 Boyd Court,+62-499-352-7337,1.4
46 Fallview Pass,+81-634-785-0964,1.38
2 Thackeray Crossing,+62-576-720-5372,1.45
5 Forster Lane,+52-505-465-8250,1.59
30 Marcy Hill,+86-457-984-1733,1.89
7305 Pankratz Parkway,+86-291-756-6444,1.19
8 Linden Drive,+57-964-920-8109,1.97
610 Hansons Place,+33-431-456-1076,1.25
3850 Lakewood Gardens Alley,+30-608-822-5493,1.76
4 Marquette Circle,+420-677-309-7324,1.33
9246 Bay Alley,+358-426-973-9747,1.42
2063 Towne Circle,+1-305-695-6579,1.1
0 Parkside Parkway,+232-540-928-1536,1.41
272 Lunder Hill,+51-487-211-4007,1.94
338 Elmside Junction,+47-505-940-6773,1.17
46 Fieldstone Court,+98-538-575-5821,1.07
8644 Helena Place,+86-840-417-4134,1.4
06834 Dakota Pass,+62-633-361-7633,1.2
7865 Petterle Terrace,+7-250-897-1555,1.22
2 Northfield Point,+62-635-134-5962,1.39
3 Mayfield Avenue,+81-579-780-6386,1.56
3332 Grim Avenue,+1-815-466-3869,1.9
20364 Independence Crossing,+7-410-971-9924,1.53
5090 Schlimgen Junction,+86-745-641-4395,1.14
8 Vidon Park,+86-183-452-0430,1.59
6643 Nobel Parkway,+33-644-647-7333,1.72
00592 Dunning Terrace,+48-348-914-3115,1.47
9 Bunting Avenue,+972-985-419-4146,1.58
5102 Golden Leaf Street,+86-658-787-3725,1.52
13 Spaight Court,+1-432-730-5635,1.61
06 Carpenter Lane,+374-333-301-6991,1.23
3 Summit Park,+7-678-596-9730,1.93
0039 Parkside Avenue,+60-387-818-3925,1.73
6826 Ilene Lane,+48-134-167-4364,1.6
8320 Forest Dale Point,+7-456-366-3947,1.82
980 Spenser Park,+62-380-845-8017,1.35
75676 Russell Park,+507-513-396-1502,1.72
3 Mallory Center,+7-724-837-9835,1.84
70 Saint Paul Center,+235-821-206-3025,1.48
34 Lien Plaza,+380-760-695-2051,1.36
03012 Fisk Road,+675-213-754-8413,1.19
05922 Ryan Plaza,+212-653-997-3037,1.37
6254 Wayridge Alley,+234-195-913-6253,1.88
54 Blackbird Center,+359-630-478-4896,1.28
860 Ramsey Avenue,+60-484-344-4563,1.27
7 Troy Alley,+7-658-919-0200,1.69
3 Bluejay Hill,+1-611-865-7101,1.92
73 Transport Trail,+48-706-773-2840,1.32
5 Goodland Way,+385-961-146-9280,1.18
79 Holy Cross Parkway,+64-507-198-6270,1.85
345 Knutson Plaza,+63-642-624-4500,1.43
935 Chinook Junction,+51-317-126-6104,1.57
995 Daystar Plaza,+382-910-137-9461,1.76
95740 Goodland Way,+55-156-530-6817,1.65
06 Bashford Court,+504-940-733-7256,1.66
988 Surrey Street,+46-211-111-4272,1.31
089 Menomonie Crossing,+62-661-702-6595,1.38
5 Goodland Circle,+380-414-878-6122,1.61
7 Waxwing Trail,+420-848-408-0898,1.17
448 Lighthouse Bay Road,+86-956-626-9235,1.55
6485 Hooker Circle,+86-239-433-3798,1.8
66359 Troy Pass,+371-794-958-0790,1.84
13256 Hallows Place,+86-794-816-4491,1.11
85779 Hoffman Point,+81-583-479-5023,1.08
3 Service Lane,+387-882-839-1876,1.2
6 Clemons Pass,+33-449-847-4203,1.81
022 Hovde Alley,+62-560-749-8083,1.77
70 Canary Parkway,+81-694-972-6565,1.2
4 Center Court,+967-683-817-7890,1.08
4 Main Avenue,+62-553-793-8789,1.87
354 Oneill Point,+57-470-549-9971,1.69
73 Butterfield Park,+351-559-827-7060,1.2
3598 Hazelcrest Drive,+82-983-535-1143,1.43
00241 Eliot Lane,+84-393-907-6248,1.73
6 Union Alley,+234-955-635-0192,1.33
0 Bowman Parkway,+62-316-264-6114,1.36
12530 Hanson Street,+62-734-257-6996,1.15
